Word,Concreteness_Rating
apropos,0
apse,0
apt,1.780
aptitude,1.540
aptitudes,0
aptly,1.660
aptness,1.590
aqualung,0
aquamarine,4.430
aquanaut,0
aquaplane,0
aquarium,4.770
Aquarius,2.570
aquatic,3.440
aqueduct,4.620
aqueducts,0
aqueous,0
Aquinas,0
aquisition,0
Arab,0
arabesque,0
Arabia,0
Arabian,0
Arabians,0
Arabic,3.430
Arabs,0
arachnid,4.650
arbiter,0
arbitrarily,1.380
arbitrary,1.620
arbitrate,2.100
arbitrated,0
arbitration,2.000
arbitrator,3.200
arbor,4.000
arboreal,0
arboretum,0
arc,4.140
arcade,4.740
arcades,0
Arcadia,0
arcane,0
arch,4.590
archaeological,2.670
archaeologist,4.450
archaeologists,0
archaeology,3.080
archaic,2.230
archaism,0
archangel,2.930
archangels,0
archbishop,4.140
archdeacon,4.000
archdiocese,0
archduke,3.930
arched,3.820
archenemy,3.110
archeological,0
archer,3.900
archery,3.930
arches,4.300
archetype,0
Archimedes,0
arching,3.250
archipelago,3.960
architect,3.740
architectonic,0
architects,0
architect's,0
architectural,3.140
architecturally,2.880
architecture,3.590
architectures,0
archives,3.930
archtype,0
archway,4.280
arclike,0
arcs,0
Arctic,3.000
ardent,1.640
ardor,0
arduous,0
are,1.960
area,3.720
areas,0
area's,0
arena,4.830
arenas,0
aren't,0
Ares,0
Argentina,0
Argentine,0
Argentinian,0
argon,3.200
Argonaut,0
Argonauts,0
arguable,1.840
argue,2.750
argued,0
argues,0
arguing,0
argument,2.850
argumentation,2.000
argumentative,2.360
arguments,0
aria,0
Ariadne,0
Arianism,0
Arianist,0
Arianists,0
arid,2.960
Aries,0
arigato,0
arise,3.170
arisen,2.150
arises,0
arising,0
aristocracy,2.970
aristocrat,3.760
aristocratic,2.420
aristocratically,1.590
aristocrats,0
Aristotelian,0
Aristotle,0
Aristotle's,0
arithmetic,2.740
arithmetical,0
arithmetized,0
Arizona,0
ark,4.670
Arkansas,0
Arlene,0
Arlene's,0
Arlington,0
arm,4.960
armada,4.040
armada's,0
armadillo,4.900
Armageddon,2.900
armament,0
armaments,0
armature,0
armband,4.670
armchair,5.000
armchairs,0
armed,3.600
Armenian,0
armful,3.430
armhole,4.240
armies,0
armistice,0
armload,3.540
armoire,4.520
armor,4.760
armored,3.590
armory,4.360
armory's,0
armpit,4.800
armpits,0
arms,4.970
arm's,0
Armstrong,0
army,4.700
army's,0
Arnold,0
Arnold's,0
aroma,3.670
aromas,0
aromatic,3.040
arose,2.190
around,1.960
arousal,2.830
arouse,2.850
aroused,0
arouses,0
arousing,0
arpeggio,0
